source_id,award,year,edition,work_id,local_path,recorded_file,asset_url,source_page_url,bytes_reported,award_status,title,creator,category,fetched_at,legacy_source_path,legacy_source_sha256,legacy_row_number,repair_codes
source_a3ff11bede08aad3919eb713,DFA,2020,,work_b55e5f801be95f12e8864753,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_01_32eeb4ca_application_20201016_V8t9f.jpg,DFA_2020_01_32eeb4ca_application_20201016_V8t9f.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_V8t9f.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,1672687,Gold Award,Choice of Leipzig,Nanjing Han Qing Tang Design,,2026-09-02T22:46:35,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,2,[]
source_eaee9c86c71544307d81a0fe,DFA,2020,,work_6a8a4eb4c0fc45a68d9372c2,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_02_45eb2ddc_application_20201016_gG7gQ.jpg,DFA_2020_02_45eb2ddc_application_20201016_gG7gQ.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_gG7gQ.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,1639562,Gold Award,"Imperfect, a shop tackling food & farming issues","6D-K co.,Ltd.",,2026-09-02T22:46:44,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,3,[]
source_d29586df13a071d830125e43,DFA,2020,,work_36f6fce3ed43879cc647c576,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_03_6ba58c29_application_20201016_PgTOP.jpg,DFA_2020_03_6ba58c29_application_20201016_PgTOP.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_PgTOP.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,3132119,Gold Award,Izumo Taisha Saitama Branch Rebranding Project,"6D-K co.,Ltd.",,2026-09-02T22:46:48,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,4,[]
source_8fe67999836d8bef095f1ae4,DFA,2020,,work_a3e04b669629ef5ef62e8927,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_04_bc882ee3_application_20201016_eZkyg.jpg,DFA_2020_04_bc882ee3_application_20201016_eZkyg.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_eZkyg.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,1246984,Gold Award,Shinkotoni Tenburyujin,arica design inc.,,2026-09-02T22:46:50,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,5,[]
source_be8588180add4645641346ed,DFA,2020,,work_a9f18155fa2b0d36cc869234,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_05_0cedef0a_application_20201016_k2EUk.jpg,DFA_2020_05_0cedef0a_application_20201016_k2EUk.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_k2EUk.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,4098146,Gold Award,Taipei Music Center Brand Video,"GRASS JELLY FILM CO., LTD.",,2026-09-02T22:46:56,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,6,[]
source_151991fa433a11a6bb749162,DFA,2020,,work_5c32a385e4a5135b9639f64c,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_06_2c4371a8_application_20201016_e8033.jpg,DFA_2020_06_2c4371a8_application_20201016_e8033.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_e8033.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,3441951,Silver Award,2019 UABB Brand Promotion Identity,another design,,2026-09-02T22:47:02,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,7,[]
source_2a4ee582080dcad78bdd233f,DFA,2020,,work_d1360683b07e396cc0ed197f,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_07_a977a4c7_application_20201016_1ekvY.jpg,DFA_2020_07_a977a4c7_application_20201016_1ekvY.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_1ekvY.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,3536877,Silver Award,a poster a week,84000 Communications Limited,,2026-09-02T22:47:05,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,8,[]
source_82a834a444f59572295d802a,DFA,2020,,work_8860c5a81e7b7fe49ad1ed52,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_08_7a366d01_application_20201016_Gk0nB.jpg,DFA_2020_08_7a366d01_application_20201016_Gk0nB.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_Gk0nB.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,4648090,Silver Award,Bauhaus 100:Manifest of Practice in Taiwan,ken-tsai lee design lab/Taiwan tech,,2026-09-02T22:47:08,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,9,[]
source_55f878edcf66e84ff346a88e,DFA,2020,,work_1d8e43888ad98d777a4b4a3f,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_09_1669ff13_application_20201016_w0hgU.jpg,DFA_2020_09_1669ff13_application_20201016_w0hgU.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_w0hgU.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,297525,Silver Award,Bespoke,Alphabetical,,2026-09-02T22:47:10,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,10,[]
source_5d77720cfec9e5a58a7ba131,DFA,2020,,work_8b2bfaea764d39a21f46b2d4,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_10_c402dd04_application_20201016_DzLF4.jpg,DFA_2020_10_c402dd04_application_20201016_DzLF4.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_DzLF4.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,2602108,Silver Award,Danish Crown – Towards a more sustainable future,Kontrapunkt,,2026-09-02T22:47:15,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,11,[]
source_5a9452305714ebcc68b00251,DFA,2020,,work_2c77d2064efaa061ad31641e,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_11_dc47d4fd_application_20201016_at4NR.jpg,DFA_2020_11_dc47d4fd_application_20201016_at4NR.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_at4NR.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,1598546,Silver Award,Hanyi Redcloud Li,Hanyi Fonts,,2026-09-02T22:47:20,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,12,[]
source_57f3a3e8573a969ed35680f6,DFA,2020,,work_ab4c633af670d36e80e42b09,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_12_30b05d2a_application_20201016_QpAYn.jpg,DFA_2020_12_30b05d2a_application_20201016_QpAYn.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_QpAYn.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,773149,Silver Award,Hunhun's Notes,Day Day Up Design Consultancy,,2026-09-02T22:47:26,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,13,[]
source_01bf9218d9ec0c008bf920be,DFA,2020,,work_08552103fc8f61c49f9cbb03,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_13_252159e0_application_20201016_VJBxP.jpg,DFA_2020_13_252159e0_application_20201016_VJBxP.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_VJBxP.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,3016984,Silver Award,K11 Craft & Guild Foundation,Toby Ng Design,,2026-09-02T22:47:29,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,14,[]
source_a4f1c93c4472b91dd99114c5,DFA,2020,,work_087e31fe9d74d65c84765c23,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_14_7e3204e6_application_20201016_qUlJt.jpg,DFA_2020_14_7e3204e6_application_20201016_qUlJt.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_qUlJt.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,1606095,Silver Award,keep running,China Academy of Art,,2026-09-02T22:47:31,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,15,[]
source_c918ab8e93479bf8ca1caa23,DFA,2020,,work_f5ef48758e8b7e4b4af4320f,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_15_586f0ed5_application_20201016_IVk9L.jpg,DFA_2020_15_586f0ed5_application_20201016_IVk9L.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_IVk9L.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,312460,Silver Award,Kontrapunkt Type,Kontrapunkt,,2026-09-02T22:47:33,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,16,[]
source_d8a72949e614d40f91d7d1d8,DFA,2020,,work_1b64f45175ad8406aa2f594f,图包与字体包/图包/中文奖项/DFA/2020/DFA_2020_16_451dcaaf_application_20201016_LnqJE.jpg,DFA_2020_16_451dcaaf_application_20201016_LnqJE.jpg,https://dfaawards.com/lib/uploads/index/application_20201016_LnqJE.jpg,https://dfaa.dfaawards.com/en/lib/ajax/winner-dfa/list/?year=2020&design_category=3,4230933,Silver Award,"Public Media Art ""Wave""","d'strict holdings, Inc.",,2026-09-02T22:47:37,图包与字体包/图包/中文奖项/DFA/sources.csv,b8a448428c6dde032b3d90a4c556645dd56819d2750a5200ade42fde718871e5,17,[]
