stimulus_id,script_code_iso15924,content_set_id,content,font_id,render_profile,canvas_width_px,canvas_height_px,original_ink_width_px,original_ink_height_px,binary_area_px,target_scale,target_width_px,target_height_px,fits_canvas,limiting_axis,max_fit_scale,max_fit_area_ratio,target_area_ratio,diagnosis
stim_b00f9a8901e2d27f,Latn,latn_u01,A,font_noto_sans_latn,bbox_height_matched,2048,1024,574,645,114666,0.496124031,284.775,320.000,true,none,1.587596899,0.137811430,,geometrically_feasible
stim_59827545d81dc7fc,Latn,latn_u01,A,font_noto_sans_latn,ink_area_matched,2048,1024,574,645,114666,0.956274610,548.902,616.797,true,none,1.587596899,0.137811430,0.05,geometrically_feasible
stim_8e1309a7db1d05d2,Latn,latn_u02,E,font_noto_sans_latn,bbox_height_matched,2048,1024,359,643,110177,0.497667185,178.663,320.000,true,none,1.592534992,0.133241343,,geometrically_feasible
stim_133906c155e4a0e4,Latn,latn_u02,E,font_noto_sans_latn,ink_area_matched,2048,1024,359,643,110177,0.975561124,350.226,627.286,true,none,1.592534992,0.133241343,0.05,geometrically_feasible
stim_dc10a606617a95b0,Latn,latn_u03,H,font_noto_sans_latn,bbox_height_matched,2048,1024,492,643,127596,0.497667185,244.852,320.000,true,none,1.592534992,0.154306819,,geometrically_feasible
stim_3d5a196875f2bae5,Latn,latn_u03,H,font_noto_sans_latn,ink_area_matched,2048,1024,492,643,127596,0.906528426,446.012,582.898,true,none,1.592534992,0.154306819,0.05,geometrically_feasible
stim_a1c5b570b2637c63,Latn,latn_u04,M,font_noto_sans_latn,bbox_height_matched,2048,1024,642,643,188017,0.497667185,319.502,320.000,true,none,1.592534992,0.227376291,,geometrically_feasible
stim_503c9c44d1146e07,Latn,latn_u04,M,font_noto_sans_latn,ink_area_matched,2048,1024,642,643,188017,0.746794993,479.442,480.189,true,none,1.592534992,0.227376291,0.05,geometrically_feasible
stim_5f1eabd656921ddb,Latn,latn_u05,O,font_noto_sans_latn,bbox_height_matched,2048,1024,593,661,139670,0.484114977,287.080,320.000,true,none,1.549167927,0.159834387,,geometrically_feasible
stim_a14341de5f21c1b2,Latn,latn_u05,O,font_noto_sans_latn,ink_area_matched,2048,1024,593,661,139670,0.866459744,513.811,572.730,true,none,1.549167927,0.159834387,0.05,geometrically_feasible
stim_fa3286a81fea424e,Latn,latn_u06,R,font_noto_sans_latn,bbox_height_matched,2048,1024,459,643,132570,0.497667185,228.429,320.000,true,none,1.592534992,0.160322071,,geometrically_feasible
stim_807ab3b2fcc13ed9,Latn,latn_u06,R,font_noto_sans_latn,ink_area_matched,2048,1024,459,643,132570,0.889359459,408.216,571.858,true,none,1.592534992,0.160322071,0.05,geometrically_feasible
stim_3dcd996bbad78448,Latn,latn_u07,S,font_noto_sans_latn,bbox_height_matched,2048,1024,406,661,101830,0.484114977,196.551,320.000,true,none,1.549167927,0.116531364,,geometrically_feasible
stim_56fb52083e86d5e9,Latn,latn_u07,S,font_noto_sans_latn,ink_area_matched,2048,1024,406,661,101830,1.014757068,411.991,670.754,true,none,1.549167927,0.116531364,0.05,geometrically_feasible
stim_556c695be437f70d,Latn,latn_u08,T,font_noto_sans_latn,bbox_height_matched,2048,1024,482,643,80953,0.497667185,239.876,320.000,true,none,1.592534992,0.097899620,,geometrically_feasible
stim_134d36893ad8956b,Latn,latn_u08,T,font_noto_sans_latn,ink_area_matched,2048,1024,482,643,80953,1.138108018,548.568,731.803,true,none,1.592534992,0.097899620,0.05,geometrically_feasible
stim_682b55befa6b5da0,Latn,latn_seq01,AEHM,font_noto_sans_latn,bbox_height_matched,2048,1024,1922,502,326431,0.637450199,1225.179,320.000,true,none,1.065556712,0.176731769,,geometrically_feasible
