stimulus_id,writing_system,script_code_iso15924,content_set_id,content,unit_count,language_bcp47,font_id,font_path,style_family,render_profile,research_lines,semantic_status
stim_b00f9a8901e2d27f,latin,Latn,latn_u01,A,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,bbox_height_matched,WP3_cross_script_visual_form,character_set
stim_59827545d81dc7fc,latin,Latn,latn_u01,A,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,ink_area_matched,WP3_cross_script_visual_form,character_set
stim_8e1309a7db1d05d2,latin,Latn,latn_u02,E,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,bbox_height_matched,WP3_cross_script_visual_form,character_set
stim_133906c155e4a0e4,latin,Latn,latn_u02,E,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,ink_area_matched,WP3_cross_script_visual_form,character_set
stim_dc10a606617a95b0,latin,Latn,latn_u03,H,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,bbox_height_matched,WP3_cross_script_visual_form,character_set
stim_3d5a196875f2bae5,latin,Latn,latn_u03,H,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,ink_area_matched,WP3_cross_script_visual_form,character_set
stim_a1c5b570b2637c63,latin,Latn,latn_u04,M,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,bbox_height_matched,WP3_cross_script_visual_form,character_set
stim_503c9c44d1146e07,latin,Latn,latn_u04,M,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,ink_area_matched,WP3_cross_script_visual_form,character_set
stim_5f1eabd656921ddb,latin,Latn,latn_u05,O,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,bbox_height_matched,WP3_cross_script_visual_form,character_set
stim_a14341de5f21c1b2,latin,Latn,latn_u05,O,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,ink_area_matched,WP3_cross_script_visual_form,character_set
stim_fa3286a81fea424e,latin,Latn,latn_u06,R,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,bbox_height_matched,WP3_cross_script_visual_form,character_set
stim_807ab3b2fcc13ed9,latin,Latn,latn_u06,R,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,ink_area_matched,WP3_cross_script_visual_form,character_set
stim_3dcd996bbad78448,latin,Latn,latn_u07,S,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,bbox_height_matched,WP3_cross_script_visual_form,character_set
stim_56fb52083e86d5e9,latin,Latn,latn_u07,S,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,ink_area_matched,WP3_cross_script_visual_form,character_set
stim_556c695be437f70d,latin,Latn,latn_u08,T,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,bbox_height_matched,WP3_cross_script_visual_form,character_set
stim_134d36893ad8956b,latin,Latn,latn_u08,T,1,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,ink_area_matched,WP3_cross_script_visual_form,character_set
stim_682b55befa6b5da0,latin,Latn,latn_seq01,AEHM,4,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,bbox_height_matched,WP3_cross_script_visual_form,pseudoword
stim_a796baa4c9fbbecc,latin,Latn,latn_seq01,AEHM,4,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,ink_area_matched,WP3_cross_script_visual_form,pseudoword
stim_90265a640e85c648,latin,Latn,latn_seq02,ORST,4,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,bbox_height_matched,WP3_cross_script_visual_form,pseudoword
stim_f74d4b587f4a69d0,latin,Latn,latn_seq02,ORST,4,,font_noto_sans_latn,data/assets/fonts/NotoSans-Regular.ttf,sans,ink_area_matched,WP3_cross_script_visual_form,pseudoword
stim_046feb329e243591,han,Hani,hani_u01,永,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,bbox_height_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_efc51b10d2ae586d,han,Hani,hani_u01,永,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,ink_area_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_9241515ee6faf823,han,Hani,hani_u02,山,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,bbox_height_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_c6922fb2c0493225,han,Hani,hani_u02,山,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,ink_area_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_2d5e2ae923bd8eb4,han,Hani,hani_u03,水,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,bbox_height_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_c999f58a5c810688,han,Hani,hani_u03,水,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,ink_area_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_169bb6d244b92865,han,Hani,hani_u04,中,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,bbox_height_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_c7451134df4dc81a,han,Hani,hani_u04,中,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,ink_area_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_8dd2285399c8dbb6,han,Hani,hani_u05,文,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,bbox_height_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_7c34ec9717cd94fc,han,Hani,hani_u05,文,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,ink_area_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_859013a27938e352,han,Hani,hani_u06,門,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,bbox_height_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_176df5b46077cb5d,han,Hani,hani_u06,門,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,ink_area_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_91565747d07456bd,han,Hani,hani_u07,木,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,bbox_height_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_e73c85004572b730,han,Hani,hani_u07,木,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,ink_area_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_47db8831dda891f1,han,Hani,hani_u08,人,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,bbox_height_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_9b3a392dd4102f7d,han,Hani,hani_u08,人,1,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,ink_area_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,character_set
stim_3fdfe138081efcb8,han,Hani,hani_seq01,永山水中,4,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,bbox_height_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,pseudoword
stim_e8f53e892073dc8f,han,Hani,hani_seq01,永山水中,4,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,ink_area_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,pseudoword
stim_363121c97354de28,han,Hani,hani_seq02,文門木人,4,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,bbox_height_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,pseudoword
stim_af0a2cd0a1e3da7a,han,Hani,hani_seq02,文門木人,4,zh-CN,font_noto_sans_sc,data/assets/fonts/NotoSansCJKsc-Regular.otf,sans,ink_area_matched,WP3_cross_script_visual_form|WP4_han_style_evolution,pseudoword
stim_43e4de4c0226c52b,han,Hani,hani_u01,永,1,zh-CN,font_noto_serif_sc,data/assets/fonts/NotoSerifSC-Regular.ttf,serif,bbox_height_matched,WP4_han_style_evolution,character_set
stim_d43e821b55f820a0,han,Hani,hani_u01,永,1,zh-CN,font_noto_serif_sc,data/assets/fonts/NotoSerifSC-Regular.ttf,serif,ink_area_matched,WP4_han_style_evolution,character_set
stim_94fdb555e2c76d0d,han,Hani,hani_u02,山,1,zh-CN,font_noto_serif_sc,data/assets/fonts/NotoSerifSC-Regular.ttf,serif,bbox_height_matched,WP4_han_style_evolution,character_set
