award,year,file,url,bytes,page,fetched
GDC,2023,GDC_2023_01_9e27a122_40973cb0933f2e52aa224bf98507e5eb.webp,https://www.gdcaward.com/media/tmp/webp/detail/40973cb0933f2e52aa224bf98507e5eb.webp,12298,https://www.gdcaward.com/op/before_works/detail?id=748&bo=8&lang=cn,2026-09-02T23:09:59
GDC,2023,GDC_2023_02_1fe9c81b_b661b48258baf0a6de9d3a8bd3c0d6d6.webp,https://www.gdcaward.com/media/tmp/webp/detail/b661b48258baf0a6de9d3a8bd3c0d6d6.webp,31062,https://www.gdcaward.com/op/before_works/detail?id=748&bo=8&lang=cn,2026-09-02T23:10:00
GDC,2023,GDC_2023_01_d9f8ca86_5f5e83d55212ba202316ebc5e7b856f2.webp,https://www.gdcaward.com/media/tmp/webp/detail/5f5e83d55212ba202316ebc5e7b856f2.webp,56968,https://www.gdcaward.com/op/before_works/detail?id=750&bo=8&lang=cn,2026-09-02T23:10:35
GDC,2023,GDC_2023_02_1d71f0c3_92b44f7c0bab371855c8da559397e685.webp,https://www.gdcaward.com/media/tmp/webp/detail/92b44f7c0bab371855c8da559397e685.webp,16918,https://www.gdcaward.com/op/before_works/detail?id=750&bo=8&lang=cn,2026-09-02T23:10:36
GDC,2023,GDC_2023_01_27afd559_293cb5300e283da556cbcd16a0dbc2e9.webp,https://www.gdcaward.com/media/tmp/webp/detail/293cb5300e283da556cbcd16a0dbc2e9.webp,64000,https://www.gdcaward.com/op/before_works/detail?id=752&bo=8&lang=cn,2026-09-02T23:10:44
GDC,2023,GDC_2023_02_b5d7aff5_361a169e0a9d12e75f2dfd272223fd72.webp,https://www.gdcaward.com/media/tmp/webp/detail/361a169e0a9d12e75f2dfd272223fd72.webp,10130,https://www.gdcaward.com/op/before_works/detail?id=752&bo=8&lang=cn,2026-09-02T23:10:44
GDC,2023,GDC_2023_01_689c62bd_0726ad9bcaaf6aaa23568b145399514e.webp,https://www.gdcaward.com/media/tmp/webp/detail/0726ad9bcaaf6aaa23568b145399514e.webp,267678,https://www.gdcaward.com/op/before_works/detail?id=753&bo=8&lang=cn,2026-09-02T23:10:53
GDC,2023,GDC_2023_02_c581dd20_2e58bb0332756d6e0e0f0824fb9359be.webp,https://www.gdcaward.com/media/tmp/webp/detail/2e58bb0332756d6e0e0f0824fb9359be.webp,90346,https://www.gdcaward.com/op/before_works/detail?id=753&bo=8&lang=cn,2026-09-02T23:10:55
GDC,2023,GDC_2023_01_b764a427_06e7875845a74b2398bbe37491c71aba.webp,https://www.gdcaward.com/media/tmp/webp/detail/06e7875845a74b2398bbe37491c71aba.webp,40814,https://www.gdcaward.com/op/before_works/detail?id=754&bo=8&lang=cn,2026-09-02T23:11:02
GDC,2023,GDC_2023_02_baf72253_2ad3eacee6128fa0a80389c5e5a147e6.webp,https://www.gdcaward.com/media/tmp/webp/detail/2ad3eacee6128fa0a80389c5e5a147e6.webp,34892,https://www.gdcaward.com/op/before_works/detail?id=754&bo=8&lang=cn,2026-09-02T23:11:02
GDC,2023,GDC_2023_01_122741ad_05d00456b9c2aa81d4fed78cdf17c041.webp,https://www.gdcaward.com/media/tmp/webp/detail/05d00456b9c2aa81d4fed78cdf17c041.webp,186614,https://www.gdcaward.com/op/before_works/detail?id=989&bo=8&lang=cn,2026-09-02T23:11:31
GDC,2023,GDC_2023_02_b6700236_1578b34cd2ac7842a2c81cbf11ddf114.webp,https://www.gdcaward.com/media/tmp/webp/detail/1578b34cd2ac7842a2c81cbf11ddf114.webp,162906,https://www.gdcaward.com/op/before_works/detail?id=989&bo=8&lang=cn,2026-09-02T23:11:35
GDC,2023,GDC_2023_01_9bd16934_07867b0490332874b26414e88259807e.webp,https://www.gdcaward.com/media/tmp/webp/detail/07867b0490332874b26414e88259807e.webp,58388,https://www.gdcaward.com/op/before_works/detail?id=993&bo=8&lang=cn,2026-09-02T23:11:46
GDC,2023,GDC_2023_02_82374636_39a4a99377c813cd79c5b23856bc76ac.webp,https://www.gdcaward.com/media/tmp/webp/detail/39a4a99377c813cd79c5b23856bc76ac.webp,59108,https://www.gdcaward.com/op/before_works/detail?id=993&bo=8&lang=cn,2026-09-02T23:11:47
