award,year,file,url,bytes,work_id,title,page,fetched
Golden Pin,2023,GoldenPin_2023_01_a1e2fa9d_image_96e87a.png,https://storage.googleapis.com/goldenpin/award_work/list_image/1080/image_96e87a.png,5146033,1080,The 34th Golden Melody Awards Key Visual,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:45:54
Golden Pin,2023,GoldenPin_2023_02_5f366859_image_a0d7d6.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1081/image_a0d7d6.jpeg,3412969,1081,Hualien Art Museum,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:45:58
Golden Pin,2023,GoldenPin_2023_03_36b8772b_image_a6e6b2.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1131/image_a6e6b2.jpeg,3470996,1131,ADM Show 2022,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:46:03
Golden Pin,2023,GoldenPin_2023_04_35da42c7_image_89738b.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1128/image_89738b.jpeg,3007483,1128,8th Singapore International Photography Festival,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:46:08
Golden Pin,2023,GoldenPin_2023_05_253491f4_image_a3614f.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1102/image_a3614f.jpeg,6045268,1102,YOO BEER,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:46:16
Golden Pin,2023,GoldenPin_2023_06_cfa1720c_image_b810d2.png,https://storage.googleapis.com/goldenpin/award_work/list_image/1101/image_b810d2.png,34469,1101,Expo 2028 Phuket Thailand,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:46:18
Golden Pin,2023,GoldenPin_2023_07_af38eb84_image_40ba47.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1112/image_40ba47.jpeg,4575647,1112,PolyU School of Fashion and Textiles,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:46:25
Golden Pin,2023,GoldenPin_2023_08_297743d8_image_bc7947.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1103/image_bc7947.jpeg,488442,1103,Such A Beautiful Land Branding,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:46:28
Golden Pin,2023,GoldenPin_2023_09_4e68cacd_image_8ffdc4.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1092/image_8ffdc4.jpeg,3318097,1092,TRA：FUTURE IS NOW,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:46:33
Golden Pin,2023,GoldenPin_2023_10_c07978e8_image_6c1db7.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1118/image_6c1db7.jpeg,4891555,1118,"Hey, kids !",https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:46:48
Golden Pin,2023,GoldenPin_2023_11_80cf8fa4_image_361383.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1088/image_361383.jpeg,1062043,1088,CLOUD GATE 50TH ANNIVERSARY,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:46:54
Golden Pin,2023,GoldenPin_2023_12_1655b79b_image_94e96b.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1130/image_94e96b.jpeg,2843553,1130,MOMOKAWA,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:46:59
Golden Pin,2023,GoldenPin_2023_13_42b7eb99_image_120ce7.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1086/image_120ce7.jpeg,1344115,1086,The Taitung Arts and Culture Center Image Identity,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:47:03
Golden Pin,2023,GoldenPin_2023_14_14b4994f_image_a8d2e8.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1084/image_a8d2e8.jpeg,622998,1084,Key Visual of 2022 National Day,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:47:06
Golden Pin,2023,GoldenPin_2023_15_a70fd585_image_ac3292.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1114/image_ac3292.jpeg,3959785,1114,Child Welfare League Foundation Brand Identity Visual Design,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:47:12
Golden Pin,2023,GoldenPin_2023_16_054063f5_image_a43a10.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1111/image_a43a10.jpeg,3459963,1111,HINGE．BOOK DESIGN EXHIBITION,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:47:17
Golden Pin,2023,GoldenPin_2023_17_e8c95b2c_image_79fa6b.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1110/image_79fa6b.jpeg,2765244,1110,Vote62: Protect Our Vote,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:47:22
