award,year,file,url,bytes,category,sub_category,title,creator,page,fetched
Indigo,2021,Indigo_2021_01_b9430b22_71198cdc58c03e837a636324d808fd5b.png,https://indigoawards.s3.amazonaws.com/cache/cover/7753/image/71198cdc58c03e837a636324d808fd5b.png,55729,Branding,Real Estate,The Exchange E3,Range Left,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:27:55
Indigo,2021,Indigo_2021_02_519c3773_401c02b8e3cc44c4d13886cb5fa4c03e.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/7762/image/401c02b8e3cc44c4d13886cb5fa4c03e.jpg,1607194,Branding,Real Estate,"Branding for Botanical Lofts, London E1",Range Left,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:27:58
Indigo,2021,Indigo_2021_03_8b1140c9_aad86f397460a70e9c0efa90dd03ab45.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/6004/image/aad86f397460a70e9c0efa90dd03ab45.jpg,661395,Branding,Real Estate,Ato DTLA,Kilograph,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:28:02
Indigo,2021,Indigo_2021_04_8f4cc432_f5afd91d3adac6136784ff84900027e4.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/6293/image/f5afd91d3adac6136784ff84900027e4.jpg,606173,Branding,Real Estate,421 East Dilido Drive Property Branding,Compass,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:28:05
Indigo,2021,Indigo_2021_05_5d764ffa_41575e293c7db967bb6ad2a052c405d2.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/6166/image/41575e293c7db967bb6ad2a052c405d2.jpg,301480,Branding,Real Estate,Sienna Branding,Threshold,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:28:09
Indigo,2021,Indigo_2021_06_07d36722_638cce3e6da0a0798f1882e611502ecb.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/5978/image/638cce3e6da0a0798f1882e611502ecb.jpg,161375,Branding,Real Estate,McGregor Square Brochure Booklets ,Ellen Bruss Design,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:28:12
Indigo,2021,Indigo_2021_07_43939138_59dd318d4583a6610efee1c9503ab06f.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/6238/image/59dd318d4583a6610efee1c9503ab06f.jpg,539238,Branding,Real Estate,Torre Student Living,Threshold,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:28:14
Indigo,2021,Indigo_2021_08_ac6870f6_a3e26fc230ec4e3a46696a47fee07dee.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/6301/image/a3e26fc230ec4e3a46696a47fee07dee.jpg,3057857,Branding,Real Estate,Casa de Sueño Property Branding,Compass,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:28:19
Indigo,2021,Indigo_2021_09_ecb4d3bd_36729b2de0fcaf433e182c1369a19b2f.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/7906/image/36729b2de0fcaf433e182c1369a19b2f.jpg,285413,Branding,Real Estate,Highpoint Engineering,Nickerson,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:28:22
Indigo,2021,Indigo_2021_10_01472696_d9251e806e954d73d08978dc506abd06.png,https://indigoawards.s3.amazonaws.com/cache/cover/7790/image/d9251e806e954d73d08978dc506abd06.png,905300,Branding,Events,The Sego Awards,Big Monocle,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:28:28
Indigo,2021,Indigo_2021_11_0d8e97b1_2fe375f41ef6dbfdf5354d3c9665e0eb.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/5647/image/2fe375f41ef6dbfdf5354d3c9665e0eb.jpg,1795024,Branding,Events,ALL.I.D. Everybody Dilla,OOO Studios,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:28:51
Indigo,2021,Indigo_2021_12_ac616167_a2125e609480955e218d11250aaebfa9.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/6380/image/a2125e609480955e218d11250aaebfa9.jpg,1185795,Branding,Events,Draft Cafe - Draft Your Beat,Blue Hat ,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:28:54
