src,out,src_sha1,orig_w,orig_h,content_w,content_h,scale,canvas,content_max,grayscale,binarize,bg,kind
图包/中文奖项/DFA\2020\DFA_2020_01_32eeb4ca_application_20201016_V8t9f.jpg,标准化输出/logo/DFA\2020\DFA_2020_01_32eeb4ca_application_20201016_V8t9f.png,4b3ef3c2296c,4000,6000,3839,5985,0.0749,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_02_45eb2ddc_application_20201016_gG7gQ.jpg,标准化输出/logo/DFA\2020\DFA_2020_02_45eb2ddc_application_20201016_gG7gQ.png,8679da6d19af,2500,1768,2500,1157,0.1792,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_03_6ba58c29_application_20201016_PgTOP.jpg,标准化输出/logo/DFA\2020\DFA_2020_03_6ba58c29_application_20201016_PgTOP.png,38220ba8a64b,2500,1768,2500,1768,0.1792,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_04_bc882ee3_application_20201016_eZkyg.jpg,标准化输出/logo/DFA\2020\DFA_2020_04_bc882ee3_application_20201016_eZkyg.png,224e69394acc,4800,3200,4800,3200,0.0933,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_05_0cedef0a_application_20201016_k2EUk.jpg,标准化输出/logo/DFA\2020\DFA_2020_05_0cedef0a_application_20201016_k2EUk.png,e55decb99944,2400,1350,2400,1350,0.1867,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_06_2c4371a8_application_20201016_e8033.jpg,标准化输出/logo/DFA\2020\DFA_2020_06_2c4371a8_application_20201016_e8033.png,82327ac9e5de,3000,4243,3000,4243,0.1056,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_07_a977a4c7_application_20201016_1ekvY.jpg,标准化输出/logo/DFA\2020\DFA_2020_07_a977a4c7_application_20201016_1ekvY.png,265b2558ffbd,9997,2400,9997,2400,0.0448,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_08_7a366d01_application_20201016_Gk0nB.jpg,标准化输出/logo/DFA\2020\DFA_2020_08_7a366d01_application_20201016_Gk0nB.png,a586369bab99,2953,2252,2953,2252,0.1517,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_09_1669ff13_application_20201016_w0hgU.jpg,标准化输出/logo/DFA\2020\DFA_2020_09_1669ff13_application_20201016_w0hgU.png,ca9c6448da3d,3000,2122,588,1882,0.238,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_10_c402dd04_application_20201016_DzLF4.jpg,标准化输出/logo/DFA\2020\DFA_2020_10_c402dd04_application_20201016_DzLF4.png,7841886bffeb,2567,3595,2567,3595,0.1246,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_11_dc47d4fd_application_20201016_at4NR.jpg,标准化输出/logo/DFA\2020\DFA_2020_11_dc47d4fd_application_20201016_at4NR.png,0affe184f3f5,3646,2653,2961,2317,0.1513,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_12_30b05d2a_application_20201016_QpAYn.jpg,标准化输出/logo/DFA\2020\DFA_2020_12_30b05d2a_application_20201016_QpAYn.png,536d0d3b364d,2400,1600,1314,801,0.3409,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_13_252159e0_application_20201016_VJBxP.jpg,标准化输出/logo/DFA\2020\DFA_2020_13_252159e0_application_20201016_VJBxP.png,f3c34ebb394a,2400,1600,2400,1600,0.1867,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_14_7e3204e6_application_20201016_qUlJt.jpg,标准化输出/logo/DFA\2020\DFA_2020_14_7e3204e6_application_20201016_qUlJt.png,292903198304,3509,2481,3509,2481,0.1277,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_15_586f0ed5_application_20201016_IVk9L.jpg,标准化输出/logo/DFA\2020\DFA_2020_15_586f0ed5_application_20201016_IVk9L.png,8b15b72d4ea5,3840,2160,3840,2160,0.1167,512,448,True,False,255,logo
图包/中文奖项/DFA\2020\DFA_2020_16_451dcaaf_application_20201016_LnqJE.jpg,标准化输出/logo/DFA\2020\DFA_2020_16_451dcaaf_application_20201016_LnqJE.png,fd795eb066de,3840,2160,3840,2160,0.1167,512,448,True,False,255,logo
图包/中文奖项/DFA\2021\DFA_2021_01_a7cc03c4_application_20211011_rIUxU.jpg,标准化输出/logo/DFA\2021\DFA_2021_01_a7cc03c4_application_20211011_rIUxU.png,be35f7963044,3960,2800,3960,2800,0.1131,512,448,True,False,255,logo
图包/中文奖项/DFA\2021\DFA_2021_02_f0ac5dcf_application_20211011_tgP7z.jpg,标准化输出/logo/DFA\2021\DFA_2021_02_f0ac5dcf_application_20211011_tgP7z.png,1db372af81af,3333,2500,1697,2500,0.1792,512,448,True,False,255,logo
