src,out,src_sha1,orig_w,orig_h,content_w,content_h,scale,canvas,content_max,grayscale,binarize,bg,kind
图包/中文奖项/GDC\2021\GDC_2021_01_19abcb28_16b15f13e1fb33c8621077ed4dc4edc1.webp,标准化输出/logo/GDC\2021\GDC_2021_01_19abcb28_16b15f13e1fb33c8621077ed4dc4edc1.png,852d51177b93,885,1080,698,922,0.4859,512,448,True,False,255,logo
图包/中文奖项/GDC\2021\GDC_2021_01_23e135f2_2878b47a274c8307e4ce4b1a5d0bc788.webp,标准化输出/logo/GDC\2021\GDC_2021_01_23e135f2_2878b47a274c8307e4ce4b1a5d0bc788.png,8bcf591a38e6,1060,749,892,571,0.5022,512,448,True,False,255,logo
图包/中文奖项/GDC\2021\GDC_2021_01_2b3109e8_bd96632db238b11c9fe0a76aee07614c.webp,标准化输出/logo/GDC\2021\GDC_2021_01_2b3109e8_bd96632db238b11c9fe0a76aee07614c.png,345251f0224b,764,1080,764,1080,0.4148,512,448,True,False,255,logo
图包/中文奖项/GDC\2021\GDC_2021_01_3394538a_0a54346aee41449f5ca4e9cc12785962.webp,标准化输出/logo/GDC\2021\GDC_2021_01_3394538a_0a54346aee41449f5ca4e9cc12785962.png,71be816b4922,790,1080,692,1012,0.4427,512,448,True,False,255,logo
图包/中文奖项/GDC\2021\GDC_2021_01_6a3e769f_0059f101780411b27b9f2fc513951883.webp,标准化输出/logo/GDC\2021\GDC_2021_01_6a3e769f_0059f101780411b27b9f2fc513951883.png,a6abd10e8d8a,764,1080,622,948,0.4726,512,448,True,False,255,logo
图包/中文奖项/GDC\2021\GDC_2021_01_75c3c897_a2c607f195d42c8e774ebdd64a4d6c13.webp,标准化输出/logo/GDC\2021\GDC_2021_01_75c3c897_a2c607f195d42c8e774ebdd64a4d6c13.png,be984ae7087f,756,1080,694,993,0.4512,512,448,True,False,255,logo
图包/中文奖项/GDC\2021\GDC_2021_01_becc4c87_00ca017ceac32d228857a223cd453903.webp,标准化输出/logo/GDC\2021\GDC_2021_01_becc4c87_00ca017ceac32d228857a223cd453903.png,5bd577acf724,1060,749,980,645,0.4571,512,448,True,False,255,logo
图包/中文奖项/GDC\2021\GDC_2021_01_f6a6e852_1ca0485aef86434377c5cca51be3e5cd.webp,标准化输出/logo/GDC\2021\GDC_2021_01_f6a6e852_1ca0485aef86434377c5cca51be3e5cd.png,79d001dd9427,1060,749,954,649,0.4696,512,448,True,False,255,logo
图包/中文奖项/GDC\2021\GDC_2021_01_fc8ff8e7_21c2d2ab5ca0300b2a036d34600ff4dc.webp,标准化输出/logo/GDC\2021\GDC_2021_01_fc8ff8e7_21c2d2ab5ca0300b2a036d34600ff4dc.png,18273f5ffa77,1060,749,662,545,0.6767,512,448,True,False,255,logo
图包/中文奖项/GDC\2021\GDC_2021_02_571bf314_b7481c29ea7b6c7a5fed785f33ccfd44.webp,标准化输出/logo/GDC\2021\GDC_2021_02_571bf314_b7481c29ea7b6c7a5fed785f33ccfd44.png,6beabb4f36ff,756,1080,737,1035,0.4329,512,448,True,False,255,logo
