src,out,src_sha1,orig_w,orig_h,content_w,content_h,scale,canvas,content_max,grayscale,binarize,bg,kind
图包/国际奖项/Indigo\2020\Indigo_2020_01_682f20e4_00508f76ad0ab905e0a1c025701ffb51.jpg,标准化输出/logo/Indigo\2020\Indigo_2020_01_682f20e4_00508f76ad0ab905e0a1c025701ffb51.png,371dd6c6a7ee,3840,2160,2049,421,0.2186,512,448,True,False,255,logo
图包/国际奖项/Indigo\2020\Indigo_2020_02_6a7b1f0d_6d239ce29ca95be4601bff38cd5151c5.jpg,标准化输出/logo/Indigo\2020\Indigo_2020_02_6a7b1f0d_6d239ce29ca95be4601bff38cd5151c5.png,3626dc30d87e,2000,740,2000,740,0.224,512,448,True,False,255,logo
图包/国际奖项/Indigo\2020\Indigo_2020_03_49b588fc_a46ec86fe94186b03079c258ec473779.jpg,标准化输出/logo/Indigo\2020\Indigo_2020_03_49b588fc_a46ec86fe94186b03079c258ec473779.png,962bfb86fd04,1400,854,1400,854,0.32,512,448,True,False,255,logo
图包/国际奖项/Indigo\2020\Indigo_2020_04_ab097035_90da9153430dc4f96a0cd0f414c85781.jpg,标准化输出/logo/Indigo\2020\Indigo_2020_04_ab097035_90da9153430dc4f96a0cd0f414c85781.png,c519a2205c0a,2481,1755,1026,744,0.4366,512,448,True,False,255,logo
图包/国际奖项/Indigo\2020\Indigo_2020_05_eeb9a79f_1ed3b8269ddb5f18ebcf1e6ba3efed4a.jpg,标准化输出/logo/Indigo\2020\Indigo_2020_05_eeb9a79f_1ed3b8269ddb5f18ebcf1e6ba3efed4a.png,253c440c4403,5833,3917,5833,3917,0.0768,512,448,True,False,255,logo
图包/国际奖项/Indigo\2020\Indigo_2020_06_7697f056_fa7d220b663e0b815340a9b5f512c9d5.jpg,标准化输出/logo/Indigo\2020\Indigo_2020_06_7697f056_fa7d220b663e0b815340a9b5f512c9d5.png,fde64a307346,5833,3750,2679,1878,0.1672,512,448,True,False,255,logo
图包/国际奖项/Indigo\2020\Indigo_2020_07_de6f4290_c749c10dab0744f2863536c9caac6223.jpg,标准化输出/logo/Indigo\2020\Indigo_2020_07_de6f4290_c749c10dab0744f2863536c9caac6223.png,ac4dd90248e5,1867,1867,1867,1867,0.24,512,448,True,False,255,logo
图包/国际奖项/Indigo\2020\Indigo_2020_08_b2aa9575_5936db2f5b5bce563c9844c0962c5bce.jpg,标准化输出/logo/Indigo\2020\Indigo_2020_08_b2aa9575_5936db2f5b5bce563c9844c0962c5bce.png,1ff6aec9350f,5833,3750,5833,3678,0.0768,512,448,True,False,255,logo
图包/国际奖项/Indigo\2020\Indigo_2020_09_506dab18_6a0e01cc624e1f0ccd76466ef919bf2a.png,标准化输出/logo/Indigo\2020\Indigo_2020_09_506dab18_6a0e01cc624e1f0ccd76466ef919bf2a.png,6dee840356f9,3000,2160,3000,2160,0.1493,512,448,True,False,255,logo
图包/国际奖项/Indigo\2020\Indigo_2020_10_335759c0_4d4fd460f76ff7f6d77fc6ad4c0e8aab.jpg,标准化输出/logo/Indigo\2020\Indigo_2020_10_335759c0_4d4fd460f76ff7f6d77fc6ad4c0e8aab.png,dac7d87269a7,2560,1440,2560,1440,0.175,512,448,True,False,255,logo
图包/国际奖项/Indigo\2020\Indigo_2020_11_4a0ba224_d2588afa5e28fdf8611f73c11ec82f81.jpg,标准化输出/logo/Indigo\2020\Indigo_2020_11_4a0ba224_d2588afa5e28fdf8611f73c11ec82f81.png,49c41fb3aa70,3508,2480,2830,1407,0.1583,512,448,True,False,255,logo
