src,out,src_sha1,orig_w,orig_h,content_w,content_h,scale,canvas,content_max,grayscale,binarize,bg,kind
图包/国际奖项/WOLDA\2020\WOLDA_2020_02_0f6d1ac3_12th-WOLDA-Cat-1106-1.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_02_0f6d1ac3_12th-WOLDA-Cat-1106-1.png,c2a3a58a3d93,1240,874,1105,786,0.4054,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_03_0d850522_12th-WOLDA-Cat-21.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_03_0d850522_12th-WOLDA-Cat-21.png,681864f0c7e1,1240,874,1105,786,0.4054,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_04_5cfe5f7f_12th-WOLDA-Cat-210.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_04_5cfe5f7f_12th-WOLDA-Cat-210.png,8d24b538004f,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_05_57f07f61_12th-WOLDA-Cat-211.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_05_57f07f61_12th-WOLDA-Cat-211.png,cddf4b3509f6,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_06_0f81461b_12th-WOLDA-Cat-212.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_06_0f81461b_12th-WOLDA-Cat-212.png,ad5b0ed7e5f8,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_07_6f5c13b4_12th-WOLDA-Cat-213.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_07_6f5c13b4_12th-WOLDA-Cat-213.png,d681ad15fe4f,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_08_af4386bb_12th-WOLDA-Cat-214.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_08_af4386bb_12th-WOLDA-Cat-214.png,0af022bbf4d8,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_09_7203b041_12th-WOLDA-Cat-215.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_09_7203b041_12th-WOLDA-Cat-215.png,bfcee9e5776b,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_10_bfa0ccd6_12th-WOLDA-Cat-216.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_10_bfa0ccd6_12th-WOLDA-Cat-216.png,dbe2d747f85b,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_11_c8c301d3_12th-WOLDA-Cat-217.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_11_c8c301d3_12th-WOLDA-Cat-217.png,8500a91ff453,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_12_164e296f_12th-WOLDA-Cat-218.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_12_164e296f_12th-WOLDA-Cat-218.png,edd6e2a23b4a,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_13_63673ec1_12th-WOLDA-Cat-219.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_13_63673ec1_12th-WOLDA-Cat-219.png,31119c91613f,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_14_577c49a1_12th-WOLDA-Cat-22.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_14_577c49a1_12th-WOLDA-Cat-22.png,a59e3d72e986,1240,874,1105,786,0.4054,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_15_f763ae71_12th-WOLDA-Cat-220.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_15_f763ae71_12th-WOLDA-Cat-220.png,7a619546663b,1240,874,1104,784,0.4058,512,448,True,False,255,logo
图包/国际奖项/WOLDA\2020\WOLDA_2020_16_acf0201b_12th-WOLDA-Cat-221.jpg,标准化输出/logo/WOLDA\2020\WOLDA_2020_16_acf0201b_12th-WOLDA-Cat-221.png,81075189e070,1240,874,1104,784,0.4058,512,448,True,False,255,logo
